Index,Real,Imaginary,Magnitude,Phase
0,13192.400538,0.000000,13192.400538,0.000000
1,-129.631146,-392.705358,413.547739,-1.889632
2,664.282076,443.682321,798.827065,0.588865
3,-582.099209,141.398640,599.026764,2.903296
4,10.258867,164.453750,164.773421,1.508496
5,-123.244832,-19.766512,124.819884,-2.982563
6,138.556521,-117.074110,181.395305,-0.701558
7,55.836969,-206.416300,213.835114,-1.306612
8,-187.713784,-51.656302,194.691649,-2.873053
9,-34.269148,-19.061772,39.213845,-2.633973
10,77.491061,37.095045,85.912204,0.446464
11,-63.307287,6.012464,63.592156,3.046904
12,74.652995,77.917305,107.908184,0.806790
13,-43.317438,46.781395,63.756563,2.317767
14,-54.180241,77.595063,94.638747,2.180342
