Index,Real,Imaginary,Magnitude,Phase
0,3072.019969,0.000000,3072.019969,0.000000
1,517.289042,-997.715401,1123.843394,-1.092479
2,-511.171621,194.941528,547.081918,2.777256
3,504.502156,739.284840,895.022067,0.971967
4,-313.073343,308.034733,439.204184,2.364307
5,-283.306581,41.824030,286.377144,2.995023
6,276.265804,-24.302905,277.332698,-0.087743
7,115.980555,-200.011537,231.205762,-1.045310
8,338.571825,-422.140510,541.140916,-0.894815
9,292.800822,-26.539256,294.001111,-0.090392
10,71.783581,-6.055775,72.038566,-0.084162
11,155.120048,261.991977,304.470073,1.036221
12,37.066807,254.831598,257.513284,1.426353
13,229.858390,269.226862,354.002800,0.864116
14,153.344309,-42.097600,159.017876,-0.267929
