Index,Real,Imaginary,Magnitude,Phase
0,14288.788714,0.000000,14288.788714,0.000000
1,7.543389,-596.020974,596.068708,-1.558141
2,675.257715,455.448559,814.497619,0.593393
3,-609.554318,-264.922633,664.635590,-2.731605
4,7.507383,151.711698,151.897335,1.521352
5,-176.100500,42.235305,181.094470,2.906202
6,44.793698,-57.339475,72.761877,-0.907623
7,50.592946,-109.707647,120.811481,-1.138699
8,67.027395,-31.338097,73.991540,-0.437345
9,-137.733503,-144.294089,199.477572,-2.332936
10,27.092598,-43.518069,51.262376,-1.013954
11,-144.988574,28.663537,147.794739,2.946414
12,-86.209535,54.178173,101.820225,2.580518
13,33.386068,101.596671,106.941635,1.253299
14,-35.682979,40.742761,54.159464,2.290086
