Index,Real,Imaginary,Magnitude,Phase
0,7315.878837,0.000000,7315.878837,0.000000
1,261.022225,112.189052,284.110868,0.405935
2,140.830549,-3.850800,140.883187,-0.027337
3,-74.609941,-186.661242,201.020055,-1.951051
4,-305.706694,-53.819646,310.408017,-2.967328
5,-7.227506,47.104698,47.655949,1.723044
6,150.717735,-105.407952,183.920287,-0.610305
7,105.476896,41.169833,113.226899,0.372135
8,21.385036,-86.415261,89.022003,-1.328202
9,-96.837652,-4.075753,96.923385,-3.099529
10,-79.094718,-69.190328,105.086992,-2.422888
11,144.235119,41.339202,150.042325,0.279127
12,204.454239,2.476004,204.469231,0.012110
13,-23.628842,198.272362,199.675366,1.689411
14,168.887949,67.591348,181.911323,0.380691
